"row","sector","band_count","bands","term_hash"
1,"center/contact sector",1,"1","81062054768943566387762356890203581574325048531837014049686176378969897583821"
2,"center/contact sector",1,"1","56057699075122239154435693329158857143754440307563771272314102156711682939977"
3,"center/contact sector",1,"1","42956403219750431637364706519978043262636824524291583662929951876367089429069"
4,"center/contact sector",1,"1","50343289602358255916574680509902490730526908355074051335452644483886109094048"
5,"center/contact sector",1,"1","87182144416925672633476024284882581559311161808767423249368143324049827873914"
6,"center/contact sector",1,"1","44730773254162123036071202650868497741549458085390047952668775645974663069658"
7,"center/contact sector",1,"1","11871896473986740203537354596636143476432228017075003041498501808390958292866"
8,"center/contact sector",1,"1","87594754511798275501129679837028885148274308850111660068170113063976286255003"
9,"center/contact sector",1,"1","10905746703079998269972244604972371978818348034004189022903786715215152952157"
10,"center/contact sector",1,"1","35464670982088917560085653057795753510961371034866708448541260947665410934255"
11,"center/contact sector",1,"1","51868829220773460276455612962394847612686551816877321395555415931952045777065"
12,"center/contact sector",1,"1","81130104033413624909838474366457890885839512191438024567522646349487320017559"
13,"center/contact sector",1,"1","1414196364620424925581406423719828220228904081495581887319338927628997131925"
14,"center/contact sector",1,"1","37229489586259174582390565368676349147230285878605891623978021280066699348197"
15,"center/contact sector",1,"1","46620711372419996591367077644057791037028934222984205364274809138180789816831"
16,"center/contact sector",1,"1","112236181126235463380074403567341734443467305730951423002427579373980365083461"
17,"pair/two-band sector",2,"1;2","11004415001155935939560179934879760131716845233507430756940043066728280409600"
18,"pair/two-band sector",2,"1;2","66516748885300191657524907537526653710707174347034108202259865117277373130079"
19,"pair/two-band sector",2,"1;2","34813466297431924073192234121107381703053332716484430611359971014345492627570"
20,"pair/two-band sector",2,"1;2","101075478474042522310583572419537282006270101683156902377800979789079859838855"
21,"pair/two-band sector",2,"1;2","1795310495249329728582020928059843809367594117152304732582990620293134806718"
22,"pair/two-band sector",2,"1;2","111546944421339089814991101831920168578605131722468214602463816392767078921412"
23,"pair/two-band sector",2,"1;2","5815930621112367521649873057658896256951450870869074139184049500886006096609"
24,"pair/two-band sector",2,"1;2","15789744976079948334585658511972717595082717485254569888445694612394626260715"
25,"pair/two-band sector",2,"1;2","59120582473342128522051256086350846053658787644942692956134958614247025104764"
26,"pair/two-band sector",2,"1;2","61898702034836505746833851520737894306807763287199683366454014679639142693172"
27,"pair/two-band sector",2,"1;2","33855165530684116141283732929278886453502602925091276926494514568957759303783"
28,"pair/two-band sector",2,"1;2","52792449034061797443799878390748978254761894822794720682855519761774946871991"
29,"pair/two-band sector",2,"1;2","5147616766939969250509392875847137447428515677210071271278273851464431666080"
30,"pair/two-band sector",2,"1;2","90234749561802783550041317128837300020558197151011467613507367601271083997841"
31,"pair/two-band sector",2,"1;2","33294150732865232395037427665645939210521444537529988025267609405132369782106"
32,"pair/two-band sector",2,"1;2","103269257744150519179083558090277769109533478294668373849197336690752522058551"
33,"pair/two-band sector",2,"1;2","61841072262800953858132259328030792576170492064310579133152721867351370128889"
34,"pair/two-band sector",2,"1;2","46474038039201639245301627122438752359137748244384293600101255800160492661558"
35,"pair/two-band sector",2,"1;2","100919303098399156954906865835088803193248373672277147721692272333618860083216"
